id,icao,lat,long,elev
483,KOEL,39.12,-100.82,924
484,KOEB,41.92,-85.05,291
485,KOCQ,44.87,-87.92,181
486,KOBE,27.27,-80.85,11
487,KOAR,36.67,-121.77,41
488,KO86,40.98,-122.7,729
489,KO69,38.25,-122.6,26
490,KO32,36.67,-119.45,117
491,KO22,38.03,-120.42,637
492,KO05,40.28,-121.23,1380
493,KNUQ,37.4,-122.05,9
494,KNRN,39.85,-99.9,726
495,KN79,,,
496,KN38,41.73,-77.4,576
497,KN03,42.6,-76.22,361
498,KMZZ,40.48,-85.68,260
499,KMZH,46.42,-92.8,331
500,KMYZ,39.85,-96.63,388
501,KMYJ,39.15,-91.82,249
502,KMWO,39.53,-84.4,197
503,KMWM,43.9,-95.1,427
504,KMVE,44.97,-95.72,319
505,KMUT,41.37,-91.15,166
506,KMTV,36.63,-80.02,276
507,KMTK,,,
508,KMRJ,42.88,-90.23,350
509,KMQW,32.1,-82.88,62
510,KMQS,39.98,-75.87,200
511,KMQJ,39.85,-85.9,262
512,KMQB,40.52,-90.65,205
513,KMPZ,40.95,-91.52,222
514,KMPR,38.35,-97.68,455
515,KMOX,45.57,-95.97,346
516,KMOP,43.62,-84.73,229
517,KMNZ,31.67,-98.15,397
518,KMNV,35.55,-84.38,306
519,KMNI,33.58,-80.22,29
520,KMNH,39.22,-104.65,2152
521,KMMI,35.4,-84.57,252
522,KMMH,37.62,-118.83,2167
523,KMLJ,33.15,-83.25,115
524,KMLE,41.2,-96.12,318
525,KMKS,33.18,-80.03,22
526,KMKN,31.92,-98.6,428
527,KMKJ,36.88,-81.33,777
528,KMJQ,43.63,-94.98,439
529,KMJD,30.48,-89.65,17
530,KMIO,36.92,-94.88,245
531,KMHR,38.55,-121.28,30
532,KMHP,32.37,-82.08,60
533,KMHL,39.1,-93.2,236
534,KMGR,31.08,-83.8,86
535,KMGN,45.43,-84.92,205
536,KMGG,45.23,-93.98,310
537,KMEZ,34.55,-94.2,320
538,KMEV,38.98,-119.75,1437
539,KMDZ,45.1,-90.3,446
540,KMDS,44.02,-97.08,524
541,KMDQ,34.87,-86.55,221
542,KMDD,32.03,-102.1,853
543,KMCX,40.72,-86.77,205
544,KMCJ,29.72,-95.4,70
545,KMCD,45.85,-84.63,228
546,KMCC,38.67,-121.4,21
547,KMBY,39.47,-92.43,263
548,KMBT,35.88,-86.38,187
549,KMBO,32.43,-90.1,98
550,KMAW,36.6,-90,88
551,KMAO,34.18,-79.33,27
552,KMAN,43.58,-116.52,773
553,KM75,48.37,-107.92,687
554,KM40,33.87,-88.48,68
555,KM30,37.18,-88.75,116
556,KM25,36.77,-88.58,157
557,KM21,37.22,-87.15,127
558,KM08,35.22,-89.05,149
559,KM02,36.13,-87.43,268
560,KM01,35.2,-90.05,68
561,KLYV,43.62,-96.22,435
562,KLYO,38.35,-98.23,515
563,KLXY,31.63,-96.52,164
564,KLXN,40.78,-99.77,734
565,KLXL,45.95,-94.33,335
566,KLWA,42.35,-86.25,199
567,KLVN,44.63,-93.23,292
568,KLVL,36.78,-77.8,98
569,KLUX,34.5,-81.95,213
570,KLUM,44.9,-91.87,271
571,KLUL,31.67,-89.17,74
572,KLUG,35.52,-86.8,218
573,KLUD,33.25,-97.58,319
574,KLUA,38.67,-78.5,273
575,KLRY,38.62,-94.35,272
576,KLRU,32.28,-106.92,1355
577,KLRO,32.9,-79.78,3
578,KLRJ,42.77,-96.2,363
579,KLQK,34.82,-82.7,291
580,KLOM,40.13,-75.27,87
581,KLNQ,29.35,-89.43,1
582,KLNP,36.98,-82.52,817
583,KLNN,41.68,-81.38,190
584,KLNL,46.15,-89.22,517
585,KLNC,32.58,-96.72,152
586,KLNA,26.6,-80.08,3
587,KLMS,,,
588,KLMO,40.17,-105.17,1535
589,KLLN,33.55,-102.37,1071
590,KLKU,38.02,-77.97,146
591,KLKR,34.72,-80.85,166
592,KLJF,45.1,-94.52,347
593,KLHZ,36.02,-78.33,104
594,KLHM,38.92,-121.35,36
595,KLHB,30.87,-96.62,83
596,KLGC,33,-85.07,209
597,KLDM,43.97,-86.4,194
598,KLCQ,30.18,-82.58,59
599,KLCG,42.25,-96.98,434
600,KLBO,37.65,-92.65,399
601,KLAM,35.87,-106.27,2166
602,KL35,34.27,-116.85,2062
603,KL18,33.35,-117.25,215
604,KL08,33.27,-116.32,156
605,KKY8,37.95,-86.87,124
606,KKNB,37.02,-112.53,1476
607,KK88,37.87,-95.38,308
608,KK82,39.77,-98.8,548
609,KK70,25.32,-80.28,20
610,KK62,38.7,-84.4,274
611,KJZP,34.45,-84.47,462
612,KJZI,32.7,-80,5
613,KJYR,40.9,-97.62,508
614,KJYO,39.07,-77.57,112
615,KJYM,41.92,-84.58,357
616,KJYL,32.65,-81.6,54
617,KJXI,32.7,-94.95,130
618,KJWY,32.45,-96.92,211
619,KJWG,35.87,-98.42,469
620,KJVY,38.37,-85.73,141
621,KJTC,34.13,-109.32,2148
622,KJSY,45.35,-117.25,1256
623,KJSV,35.43,-94.8,158
624,KJSO,31.87,-95.22,204
625,KJRO,38.98,-82.58,224
626,KJPX,40.95,-72.25,10
627,KJOT,41.52,-88.18,175
628,KJMR,45.88,-93.27,301
629,KJKJ,46.83,-96.67,280
630,KJHN,37.58,-101.73,1013
631,KJFZ,37.07,-81.8,809
632,KJFX,33.9,-87.32,144
633,KJCA,34.18,-83.57,287
634,KJAS,30.88,-94.03,60
635,KJAQ,38.37,-120.8,518
636,KIZA,34.6,-120.07,200
637,KIYA,29.98,-92.08,4
638,KIUA,42.92,-77.33,248
639,KISQ,45.97,-86.17,206
640,KIRS,41.8,-85.43,282
641,KIOB,38.05,-83.98,301
